,services,popularity,category
526,Armrest replaced,3,miscellaneous
527,Automatic parking assist programmed,3,miscellaneous
528,Automatic transmission pan gasket replaced,3,miscellaneous
529,Body side molding(s) replaced,3,miscellaneous
530,Brake control module replaced,3,miscellaneous
531,Camshaft adjuster solenoid replaced,3,miscellaneous
532,Camshaft position sensor adjusted,3,miscellaneous
533,CD player/changer reinstalled,3,miscellaneous
534,Control arm bushing(s) replaced,3,miscellaneous
535,Cooling system bled,3,miscellaneous
536,Crankshaft oil seal(s) replaced,3,miscellaneous
537,Crankshaft position sensor replaced,3,miscellaneous
538,CV joint(s) replaced,3,miscellaneous
539,Differential fluid checked,3,miscellaneous
540,Door assembly aligned,3,miscellaneous
541,Door weatherstrip repaired,3,miscellaneous
542,Driveshaft universal joint(s) replaced,3,miscellaneous
543,Electrical and lighting system serviced,3,miscellaneous
544,Engine cover removed and reinstalled,3,miscellaneous
545,Engine idle checked,3,miscellaneous
546,Engine oil cooler replaced/repaired,3,miscellaneous
547,Exhaust manifold replaced,3,miscellaneous
548,Exhaust pipe seal replaced,3,miscellaneous
549,Exhaust replaced,3,miscellaneous
550,Front carpet replaced,3,miscellaneous
551,Front door molding replaced,3,miscellaneous
552,Front seat cushion replaced,3,miscellaneous
553,Front turn signal/parking bulb(s) replaced,3,miscellaneous
554,Fuel filler door adjusted,3,miscellaneous
555,Fuel rail replaced,3,miscellaneous
556,Fuel tank drained and cleaned,3,miscellaneous
557,Grille replaced/repaired,3,miscellaneous
558,Heat shield secured,3,miscellaneous
559,Heater core replaced,3,miscellaneous
560,High voltage battery checked,3,miscellaneous
561,Hub cap(s)/wheel cover(s) replaced,3,miscellaneous
562,Information display unit replaced,3,miscellaneous
563,Instrument cluster replaced/repaired,3,miscellaneous
564,Interior accessory installed,3,miscellaneous
565,Interior protective coating applied,3,miscellaneous
566,Knock sensor(s) replaced,3,miscellaneous
567,Left tail light assembly replaced,3,miscellaneous
568,Lock cylinder(s) replaced,3,miscellaneous
569,Lower ball joint(s) replaced,3,miscellaneous
570,Lower control arm bushings replaced,3,miscellaneous
571,Multi-function switch replaced,3,miscellaneous
572,Parking brake shoes/pads replaced,3,miscellaneous
573,PCV hose replaced,3,miscellaneous
574,Power door/liftgate motor replaced,3,miscellaneous
575,Power steering fluid leak checked,3,miscellaneous
576,Radiator/condenser fan motor replaced,3,miscellaneous
577,Rear differential pinion seal replaced,3,miscellaneous
578,Right tail light assembly replaced,3,miscellaneous
579,Right tie rod end replaced,3,miscellaneous
580,Seat memory computer/module replaced,3,miscellaneous
581,Serpentine tensioner replaced,3,miscellaneous
582,Socket(s) repaired/replaced,3,miscellaneous
583,Steering angle sensor initialized,3,miscellaneous
584,Throttle body replaced,3,miscellaneous
585,Throttle position sensor replaced,3,miscellaneous
586,Timing chain replaced,3,miscellaneous
587,Tire jack replaced,3,miscellaneous
588,Tow package installed,3,miscellaneous
589,Trailer hitch wiring installed,3,miscellaneous
590,Transaxle overhauled,3,miscellaneous
591,Transfer case overhauled/replaced,3,miscellaneous
592,Transmission seal(s) replaced,3,miscellaneous
593,Trunk adjusted,3,miscellaneous
594,Upper ball joint(s) replaced,3,miscellaneous
595,Upper control arm(s) replaced,3,miscellaneous
596,Upper radiator hose replaced,3,miscellaneous
597,Valve cover(s) replaced,3,miscellaneous
598,Washer nozzle(s) replaced,3,miscellaneous
599,Wheel bearings repacked,3,miscellaneous
600,Window(s) serviced,3,miscellaneous
601,Wing/spoiler replaced/repaired,3,miscellaneous
602,Wiper motor replaced/repaired,3,miscellaneous
603,000 mile service performed,2,miscellaneous
604,55,2,miscellaneous
605,75,2,miscellaneous
606,A/C compressor repaired,2,miscellaneous
607,A/C hose/line seals replaced,2,miscellaneous
608,Adaptive cruise control sensor replaced,2,miscellaneous
609,Air suspension checked,2,miscellaneous
610,Antenna serviced/repaired,2,miscellaneous
611,Anti-theft/keyless device/alarm removed,2,miscellaneous
612,Ashtray replaced,2,miscellaneous
613,Battery cable connection bolt replaced,2,miscellaneous
614,Battery tray/cover/hold-down replaced,2,miscellaneous
615,Blower motor operation checked,2,miscellaneous
616,Brake drum(s) replaced,2,miscellaneous
617,Brake fluid reservoir replaced/repaired,2,miscellaneous
618,Bug shield installed,2,miscellaneous
619,Camshaft seal(s) replaced,2,miscellaneous
620,Catalyst monitor sensor replaced,2,miscellaneous
621,Clock replaced,2,miscellaneous
622,Clutch assembly replaced,2,miscellaneous
623,Clutch master cylinder replaced,2,miscellaneous
624,Clutch pressure plate replaced,2,miscellaneous
625,Clutch slave cylinder replaced,2,miscellaneous
626,Collision mitigation system checked,2,miscellaneous
627,Collision mitigation system installed,2,miscellaneous
628,Console armrest replaced,2,miscellaneous
629,Convertible top operation checked,2,miscellaneous
630,Core/freeze plug replaced,2,miscellaneous
631,Cowl/firewall panel resealed,2,miscellaneous
632,Cruise control checked,2,miscellaneous
633,Diesel particulate filter replaced,2,miscellaneous
634,Door sill plate/trim replaced,2,miscellaneous
635,Door trim panel adjusted,2,miscellaneous
636,Door weatherstrip replaced,2,miscellaneous
637,Drive belts serviced,2,miscellaneous
638,Driveshaft serviced,2,miscellaneous
639,EGR system serviced,2,miscellaneous
640,EGR valve replaced,2,miscellaneous
641,Engine removed to complete repair,2,miscellaneous
642,Engine wiring harness repaired,2,miscellaneous
643,Exhaust flex pipe replaced,2,miscellaneous
644,Exhaust secured,2,miscellaneous
645,Exhaust system replaced,2,miscellaneous
646,Fender liner adjusted/secured,2,miscellaneous
647,Floor mats replaced,2,miscellaneous
648,Flywheel/flexplate replaced,2,miscellaneous
649,Front coil spring(s) replaced,2,miscellaneous
650,Front exhaust pipe replaced,2,miscellaneous
